0000 0000 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0010 0000 
0000 0000 0001 0101 1001 0011 0111 1001 0101 1001 0011 0011 0011 0101 1001 0101 1001 0101 1001 0001 0111 1000 
0100 1110 1100 1010 0110 1001 0101 1100 1100 1100 1001 0011 0101 1100 1100 1010 0110 1100 1100 1010 0101 1000 
0100 1001 0110 1001 0011 0110 1010 0110 1010 0100 1100 1011 0010 0110 1010 0101 1101 1100 1110 1001 0100 1000 
0100 1000 0011 0110 1001 0011 0101 1001 0101 1110 1010 0101 1001 0011 0011 0110 1010 0010 0011 0110 1100 1000 
0100 1010 0101 1011 0100 1101 1100 1110 1010 0011 0011 0110 1100 1001 0011 0101 1001 0101 1001 0101 1110 1000 
0100 1101 1010 0101 1100 1010 0010 0111 1001 0011 0011 0001 0110 1100 1101 1010 0110 1010 0110 1010 0101 1000 
0100 1000 0011 0110 1010 0101 1001 0011 0110 1001 0101 1010 0101 1100 1000 0011 0011 0011 0011 0101 1100 1000 
0100 1100 1001 0011 0001 0100 1010 0101 1101 1100 1000 0101 1100 1010 0110 1001 0011 0011 0011 0110 1100 1000 
0100 1100 1110 1001 0110 1010 0111 1100 1010 0110 1100 1100 1010 0001 0101 1100 1101 1001 0011 0101 1100 1000 
0100 1010 0101 1000 0011 0011 0101 1000 0011 0011 0110 1010 0101 1100 1110 1010 0100 1010 0101 1100 1100 1000 
0100 1101 1100 1110 1001 0101 1010 0110 1001 0101 1101 1001 0110 1010 0001 0011 0110 1101 1100 1100 1100 1000 
0100 1100 1100 1001 0110 1100 1001 0011 0110 1100 1000 0110 1001 0101 1010 0011 0011 0110 1100 1010 0110 1000 
0100 1100 1100 1010 0101 1010 0110 1001 0011 0110 1010 0101 1100 1010 0011 0011 0011 0101 1010 0011 0101 1000 
0100 1100 1100 1001 0110 1101 1001 0110 1001 0011 0101 1110 1100 1001 0011 0011 0101 1010 0011 0101 1100 1000 
0100 1100 1100 1100 1001 0110 1010 0101 1010 0101 1010 0011 0110 1010 0101 1101 1010 0001 0111 1100 1100 1000 
0100 1010 0010 0110 1010 0011 0011 0010 0011 0110 1011 0011 0011 0011 0010 0010 0111 1010 0011 0010 0000 0000 
0000 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0001 0000 0000 
